File_Code,Title,Authors,Year,Journal,DOI,OA_URL,MD5_Hash
OA_KW7_011,EEG-GMACN: Interpretable EEG Graph Mutual Attention Convolutional Network,"Haili Ye, Stephan Goerttler, Fei He",2024,arXiv Preprint,10.48550/arXiv.2412.17834v1,https://arxiv.org/pdf/2412.17834v1.pdf,fed860dbf1f84780a66572b15de1da96
OA_KW7_012,EEG-MSAF: An Interpretable Microstate Framework uncovers Default-Mode Decoherence in Early Neurodegeneration,"Mohammad Mehedi Hasan, Pedro G. Lind, Hernando Ombao et al.",2025,arXiv Preprint,10.48550/arXiv.2509.02568v1,https://arxiv.org/pdf/2509.02568v1.pdf,de6f3556f15a29b3563d9c0a4df4e6c0
OA_KW7_013,Human Emotion Classification based on EEG Signals Using Recurrent Neural Network And KNN,"Shashank Joshi, Falak Joshi",2022,arXiv Preprint,10.48550/arXiv.2205.08419v1,https://arxiv.org/pdf/2205.08419v1.pdf,b0da49a02201fa40c8878db6fd91b47e
OA_KW7_014,SSGCNet: A Sparse Spectra Graph Convolutional Network for Epileptic EEG Signal Classification,"Jialin Wang, Rui Gao, Haotian Zheng et al.",2022,arXiv Preprint,10.48550/arXiv.2203.12910v1,https://arxiv.org/pdf/2203.12910v1.pdf,c8795a3642c87382ff7bdc7565b8dd3c
OA_KW7_015,Atom: Neural Traffic Compression with Spatio-Temporal Graph Neural Networks,"Paul Almasan, Krzysztof Rusek, Shihan Xiao et al.",2023,arXiv Preprint,10.48550/arXiv.2311.05337v1,https://arxiv.org/pdf/2311.05337v1.pdf,9f9cedf4dbd874fce27124a97befcb18
OA_KW7_016,The Deep Arbitrary Polynomial Chaos Neural Network or how Deep Artificial Neural Networks could benefit from Data-Driven Homogeneous Chaos Theory,"Sergey Oladyshkin, Timothy Praditia, Ilja Kröker et al.",2023,arXiv Preprint,10.48550/arXiv.2306.14753v1,https://arxiv.org/pdf/2306.14753v1.pdf,6370412ae2201a356e90d7294a6cec9b
OA_KW7_017,EEG2GAIT: A Hierarchical Graph Convolutional Network for EEG-based Gait Decoding,"Xi Fu, Rui Liu, Aung Aung Phyo Wai et al.",2025,arXiv Preprint,10.48550/arXiv.2504.03757v2,https://arxiv.org/pdf/2504.03757v2.pdf,94ef45166e52c6364f51951e61026eba
OA_KW7_018,Adaptive Progressive Attention Graph Neural Network for EEG Emotion Recognition,"Tianzhi Feng, Chennan Wu, Yi Niu et al.",2025,arXiv Preprint,10.48550/arXiv.2501.14246v2,https://arxiv.org/pdf/2501.14246v2.pdf,bc38016161ab935df558cdc39a3e39b7
OA_KW7_019,MEEG and AT-DGNN: Improving EEG Emotion Recognition with Music Introducing and Graph-based Learning,"Minghao Xiao, Zhengxi Zhu, Kang Xie et al.",2024,arXiv Preprint,10.48550/arXiv.2407.05550v4,https://arxiv.org/pdf/2407.05550v4.pdf,2f9007f1f0faee0085f1350f7e8fb594
OA_KW7_020,Rewiring Human Brain Networks via Lightweight Dynamic Connectivity Framework: An EEG-Based Stress Validation,"Sayantan Acharya, Abbas Khosravi, Douglas Creighton et al.",2025,arXiv Preprint,10.48550/arXiv.2511.05505v1,https://arxiv.org/pdf/2511.05505v1.pdf,a42afda8e307eb62d66b3482986176ab
OA_KW7_021,Tensor Graph Convolutional Network for Dynamic Graph Representation Learning,"Ling Wang, Ye Yuan",2024,arXiv Preprint,10.48550/arXiv.2401.07065v1,https://arxiv.org/pdf/2401.07065v1.pdf,daca3781d6d5bdd0417e7bb7545d1d77
OA_KW7_022,A Review of Graph-Powered Data Quality Applications for IoT Monitoring Sensor Networks,"Pau Ferrer-Cid, Jose M. Barcelo-Ordinas, Jorge Garcia-Vidal",2024,arXiv Preprint,10.48550/arXiv.2410.21006v2,https://arxiv.org/pdf/2410.21006v2.pdf,ffd80d93c782ea29780786272d24afb2
OA_KW7_023,Uniqueness Analysis of Controllability Scores and Their Application to Brain Networks,"Kazuhiro Sato, Ryohei Kawamura",2024,arXiv Preprint,10.48550/arXiv.2408.03023v4,https://arxiv.org/pdf/2408.03023v4.pdf,5382c827196c12f473f263a1adf63722
OA_KW7_024,OmniEEG-Bench: A Standardized Evaluation Benchmark for EEG Foundation Models,"Ziling Lu, Zongsheng Li, Xinke Shen et al.",2026,arXiv Preprint,10.48550/arXiv.2606.00815v1,https://arxiv.org/pdf/2606.00815v1.pdf,dbb3379686fbacacb81d4206052c3619
OA_KW7_025,Adaptive Gated Graph Convolutional Network for Explainable Diagnosis of Alzheimer's Disease using EEG Data,"Dominik Klepl, Fei He, Min Wu et al.",2023,arXiv Preprint,10.48550/arXiv.2304.05874v3,https://arxiv.org/pdf/2304.05874v3.pdf,1927399071f9c672dde63acabf3984c4
OA_KW7_026,PGCN: Pyramidal Graph Convolutional Network for EEG Emotion Recognition,"Ming Jin, Enwei Zhu, Changde Du et al.",2023,arXiv Preprint,10.48550/arXiv.2302.02520v1,https://arxiv.org/pdf/2302.02520v1.pdf,09ef1b10c788455f65586d3710e2bcdd
OA_KW7_027,Functional Connectivity Graph Neural Networks,"Yang Li, Luopeiwen Yi, Tananun Songdechakraiwut",2025,arXiv Preprint,10.48550/arXiv.2508.05786v1,https://arxiv.org/pdf/2508.05786v1.pdf,1459fb09d4c09761c46f4bc96b9dc1a6
OA_KW7_028,Transformers are Graph Neural Networks,Chaitanya K. Joshi,2025,arXiv Preprint,10.48550/arXiv.2506.22084v1,https://arxiv.org/pdf/2506.22084v1.pdf,fec32b7e8c66c40166d06ce027f173bc
OA_KW7_029,A Hybrid End-to-End Spatio-Temporal Attention Neural Network with Graph-Smooth Signals for EEG Emotion Recognition,"Shadi Sartipi, Mastaneh Torkamani-Azar, Mujdat Cetin",2023,arXiv Preprint,10.48550/arXiv.2307.03068v1,https://arxiv.org/pdf/2307.03068v1,54cde5d8dee582c13f9286728ea4d363
OA_KW7_030,Sequential Monte Carlo Graph Convolutional Network for Dynamic Brain Connectivity,"Fengfan Zhao, Ercan Engin Kuruoglu",2023,arXiv Preprint,10.48550/arXiv.2310.00630v2,https://arxiv.org/pdf/2310.00630v2.pdf,7de3c3db44128d2420a902b2bd1bb57b
OA_KW7_031,High-Dimensional Directional Brain Network Analysis for Focal Epileptic Seizures,"Yaotian Wang, Guofen Yan, Seiji Tanabe et al.",2022,arXiv Preprint,10.48550/arXiv.2208.07991v1,https://arxiv.org/pdf/2208.07991v1.pdf,c6df7c33dad32afe619cf3c2965a07dd
OA_KW7_032,Inter Subject Emotion Recognition Using Spatio-Temporal Features From EEG Signal,"Mohammad Asif, Diya Srivastava, Aditya Gupta et al.",2023,arXiv Preprint,10.48550/arXiv.2305.19379v1,https://arxiv.org/pdf/2305.19379v1.pdf,cfea7dbbbebf967b5062d46d20a0dd4a
OA_KW7_033,ASTER: Adaptive Spatio-Temporal Early Decision Model for Dynamic Resource Allocation,"Shulun Chen, Wei Shao, Flora D. Salim et al.",2025,arXiv Preprint,10.48550/arXiv.2506.17929v1,https://arxiv.org/pdf/2506.17929v1.pdf,d94e3aea885ff5af23f6adcc294e4d20
OA_KW7_034,V-STaR: Benchmarking Video-LLMs on Video Spatio-Temporal Reasoning,"Zixu Cheng, Jian Hu, Ziquan Liu et al.",2025,arXiv Preprint,10.48550/arXiv.2503.11495v1,https://arxiv.org/pdf/2503.11495v1.pdf,91fac76ed34c9bfc4383d200bd140ff0
OA_KW7_035,SpoT-Mamba: Learning Long-Range Dependency on Spatio-Temporal Graphs with Selective State Spaces,"Jinhyeok Choi, Heehyeon Kim, Minhyeong An et al.",2024,arXiv Preprint,10.48550/arXiv.2406.11244v1,https://arxiv.org/pdf/2406.11244v1.pdf,96ad24c15f7d3ffc23d7e11805c750de
OA_KW7_036,BrainIB: Interpretable Brain Network-based Psychiatric Diagnosis with Graph Information Bottleneck,"Kaizhong Zheng, Shujian Yu, Baojuan Li et al.",2022,arXiv Preprint,10.48550/arXiv.2205.03612v4,https://arxiv.org/pdf/2205.03612v4.pdf,fb11508fe553ad4a396117b4b55abb96
OA_KW7_037,Covariance Spectrum in Nonlinear Recurrent Neural Networks: A Near-Critical Effective Connection Strength Throughout Chaos,"Xuanyu Shen, Yu Hu",2025,arXiv Preprint,10.48550/arXiv.2508.05288v2,https://arxiv.org/pdf/2508.05288v2.pdf,73ecc5504cfd81024c7f76c529c4457a
OA_KW7_038,EEG-EditBench: Probing Visual Information in EEG-Image Retrieval Models with Controlled Image Edits,"Kaifan Zhang, Lihuo He, Yuqi Ji et al.",2026,arXiv Preprint,10.48550/arXiv.2607.27857v1,https://arxiv.org/pdf/2607.27857v1.pdf,fea813d5c66173cdfb5bb218fc46df9e
OA_KW7_039,Synthetic Datasets for Machine Learning on Spatio-Temporal Graphs using PDEs,"Jost Arndt, Utku Isil, Michael Detzel et al.",2025,arXiv Preprint,10.48550/arXiv.2502.04140v2,https://arxiv.org/pdf/2502.04140v2.pdf,610ca0715cd2775fc15bf6150ee095f8
OA_KW7_040,DAGAM: A Domain Adversarial Graph Attention Model for Subject Independent EEG-Based Emotion Recognition,"Tao Xu, Wang Dang, Jiabao Wang et al.",2022,arXiv Preprint,10.48550/arXiv.2202.12948v1,https://arxiv.org/pdf/2202.12948v1.pdf,3508829abd4eef270852c36d37a52879
OA_KW7_041,Spatio-Temporal Directed Graph Learning for Account Takeover Fraud Detection,"Mohsen Nayebi Kerdabadi, William Andrew Byron, Xin Sun et al.",2025,arXiv Preprint,10.48550/arXiv.2509.20339v1,https://arxiv.org/pdf/2509.20339v1.pdf,9da96422ae874e11784af026cb0c4f4e
OA_KW7_042,Exact Fit Attention in Node-Holistic Graph Convolutional Network for Improved EEG-Based Driver Fatigue Detection,"Meiyan Xu, Qingqing Chen, Duo Chen et al.",2025,arXiv Preprint,10.48550/arXiv.2501.15062v1,https://arxiv.org/pdf/2501.15062v1.pdf,8831ba41f46b3f5f20a06e4251081070
OA_KW7_043,Locally temporal-spatial pattern learning with graph attention mechanism for EEG-based emotion recognition,"Yiwen Zhu, Kaiyu Gan, Zhong Yin",2022,arXiv Preprint,10.48550/arXiv.2208.11087v1,https://arxiv.org/pdf/2208.11087v1.pdf,db0314433c4698404084ecfc15c6fa08
OA_KW7_044,CI-GNN: A Granger Causality-Inspired Graph Neural Network for Interpretable Brain Network-Based Psychiatric Diagnosis,"Kaizhong Zheng, Shujian Yu, Badong Chen",2023,arXiv Preprint,10.48550/arXiv.2301.01642v3,https://arxiv.org/pdf/2301.01642v3.pdf,052763066094d0a75e7ee1ffddf03a1d
OA_KW7_045,Learning Task-Aware Effective Brain Connectivity for fMRI Analysis with Graph Neural Networks,"Yue Yu, Xuan Kan, Hejie Cui et al.",2022,arXiv Preprint,10.48550/arXiv.2211.00261v1,https://arxiv.org/pdf/2211.00261v1.pdf,75284a3ccf05f20d3039a409fc594e5f
OA_KW7_046,Generative AI Enables EEG Super-Resolution via Spatio-Temporal Adaptive Diffusion Learning,"Shuqiang Wang, Tong Zhou, Yanyan Shen et al.",2024,arXiv Preprint,10.48550/arXiv.2407.03089v5,https://arxiv.org/pdf/2407.03089v5.pdf,b89a97305530e89d70a453c38ad2a76d
OA_KW7_047,MSGM: A Multi-Scale Spatiotemporal Graph Mamba for EEG Emotion Recognition,"Hanwen Liu, Yifeng Gong, Zuwei Yan et al.",2025,arXiv Preprint,10.48550/arXiv.2507.15914v1,https://arxiv.org/pdf/2507.15914v1.pdf,26165cfdd0eda507d1e7b587b5547a07
OA_KW7_048,TAnet: A New Temporal Attention Network for EEG-based Auditory Spatial Attention Decoding with a Short Decision Window,"Yuting Ding, Fei Chen",2024,arXiv Preprint,10.48550/arXiv.2401.05819v2,https://arxiv.org/pdf/2401.05819v2.pdf,954fa4e1204984bee17c15e8695f6313
OA_KW7_049,A DenseNet-based method for decoding auditory spatial attention with EEG,"Xiran Xu, Bo Wang, Yujie Yan et al.",2023,arXiv Preprint,10.48550/arXiv.2309.07690v2,https://arxiv.org/pdf/2309.07690v2.pdf,c17e9902b3d199baee26a6b30ab31356
OA_KW7_050,EEG-based Decoding of Selective Visual Attention in Superimposed Videos,"Yuanyuan Yao, Wout De Swaef, Simon Geirnaert et al.",2024,arXiv Preprint,10.48550/arXiv.2409.12562v2,https://arxiv.org/pdf/2409.12562v2.pdf,8644497ef4c6a3e5eaa77185878ffdfa
